code,name,priority,max_days_per_week,breakfast_mon,breakfast_tues,breakfast_wed,breakfast_thurs,breakfast_fri,breakfast_sat,breakfast_sun,lunch_mon,lunch_tues,lunch_wed,lunch_thurs,lunch_fri,lunch_sat,lunch_sun,dinner_mon,dinner_tues,dinner_wed,dinner_thurs,dinner_fri,dinner_sat,dinner_sun,zone_1,zone_2,zone_3,zone_4,zone_5
PG,Pagu,1,7,,,,,,,,700,,,,,,,700,700,,,700,,,1,1,1,1,1
LD,Little Donkey,1,7,,,,,,,,,,,,,,,,400,400,400,,,,1,1,1,1,1
MM,Mei Mei,1,3,,,,,,,,,,,,,,,,,,,120,120,120,1,1,1,1,1
PO,Porto,1,5,,,,,,,,300,,300,300,,,,,,,,,,,1,1,1,1,1
CS,Cafe Sushi,1,2,,,,,,,,,,,,,,,,100,100,100,,,,1,1,1,1,1
SU,Suya,1,7,,,,,,,,400,400,400,400,400,400,400,500,500,500,500,500,500,500,1,1,1,1,1
MD,MIDA,1,7,,,,,,,,,500,,,,,,500,,500,,500,,,1,1,1,1,1
SH,Shojo & China Pearl,1,7,,,,,,,,225,225,225,225,225,225,225,225,225,225,225,225,225,225,1,1,1,1,1
BB,Banyan Bar + Refuge (The Gallows Group),1,7,,,,,,,,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,1,1,1,1
ME,Mae Asian Eatery,1,4,,,,,,,,,150,150,150,150,150,,200,200,200,200,,,,1,1,1,1,1
RT,Row 34,1,3,,,,,,,,200,,200,,200,,,,,,,,,,1,1,1,1,1
CE,Celeste,1,4,,,,,,,,150,150,150,150,150,150,150,150,150,,,,,150,1,1,1,1,1
BC,Breaktime Cafe,1,5,,,,,,,,300,300,300,300,300,,,300,300,300,300,300,,,1,1,1,1,1
FV,Field & Vine,1,2,,,,,,,,,,100,100,,,,,,,,,,,1,1,1,1,1
MY,Mahaniyom,1,7,,,,,,,,200,200,200,200,200,200,200,,,,,,,,1,1,1,1,1
CL,Cafe Luna,1,6,,,,,,,,300,300,300,300,300,300,300,,,,,,,,1,1,1,1,1
FC,Flour Cafe,1,5,,,,,,,,300,300,300,300,300,,,100,100,100,100,100,,,1,1,1,1,1
RD,Reign Drink Lab (REIGNcafe),1,5,,,,,,,,300,,300,300,,300,,300,300,300,300,300,300,,1,1,1,1,1
JC,JUGOS,1,0,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
NT,Naco Taco,1,7,,,,,,,,300,300,300,300,300,300,300,300,300,300,300,300,300,300,1,1,1,1,1
TB,Tarboosh,1,5,,,,,,,,50,50,50,50,,,50,,,,,,,,1,1,1,1,1
NL,Noodle Lab,1,7,,,,,,,,500,500,500,500,500,500,500,500,500,500,500,500,500,500,1,1,1,1,1
IK,Infused Kreyol,1,2,,,,,,,,,,150,150,,,,,,,,,,,1,1,1,1,1
